Especie	Pétalos	Sépalos	Estambres
Especie_A	82	69	177
Especie_A	76	72	183
Especie_A	77	71	186
Especie_A	76	74	170
Especie_A	72	71	180
Especie_A	78	77	172
Especie_A	74	78	185
Especie_A	66	68	151
Especie_A	70	68	160
Especie_A	73	73	171
Especie_A	73	72	175
Especie_A	72	72	170
Especie_A	71	72	190
Especie_A	67	67	165
Especie_A	76	75	180
Especie_A	70	67	155
Especie_A	71	73	157
Especie_A	72	75	170
Especie_A	70	66	165
Especie_A	69	70	166
Especie_A	67	78	168
Especie_A	69	70	157
Especie_A	72	74	180
Especie_A	71	70	180
Especie_A	71	70	174
Especie_A	62	70	170
Especie_A	72	70	183
Especie_A	70	75	180
Especie_A	69	76	182
Especie_A	71	72	170
Especie_A	74	74	183
Especie_A	72	71	176
Especie_A	68	68	166
Especie_A	67	75	165
Especie_A	75	78	181
Especie_A	74	73	184
Especie_A	77	74	183
Especie_A	71	73	166
Especie_A	76	78	190
Especie_A	76	78	190
Especie_A	78	71	190
Especie_A	73	76	178
Especie_A	73	74	180
Especie_A	77	76	195
Especie_A	77	76	182
Especie_A	69	75	178
Especie_B	77	75	190
Especie_B	83	79	186
Especie_B	83	83	190
Especie_B	79	76	180
Especie_B	70	75	180
Especie_B	77	82	185
Especie_B	77	80	183
Especie_B	84	76	183
Especie_B	76	74	179
Especie_B	76	76	190
Especie_B	71	76	182
Especie_B	76	73	185
Especie_B	77	78	183
Especie_B	74	80	192
Especie_B	73	80	190
Especie_B	76	82	192
Especie_B	77	76	187
Especie_B	75	78	180
Especie_B	87	89	200
Especie_B	77	81	190
Especie_B	75	77	198
Especie_B	83	84	199
Especie_B	80	81	197
Especie_B	72	70	186
Especie_B	72	74	190
Especie_B	73	77	190
Especie_B	78	75	182
Especie_B	74	83	200
Especie_B	77	82	195
Especie_B	72	77	210
Especie_B	79	77	200

